center_name,center_phonenumber,center_state,center_city,center_pincode,center_address,warehouse_name
Tate distribution center,9689431712, Alabama ,Columbus,61973,"Ap #319-8814 Fames Road, Columbus,  Alabama , 61973",Lance warehouse
Palmer distribution center,9092884454, Alaska ,San Francisco,54275,"Ap #227-6089 Quis, Street, San Francisco,  Alaska , 54275",Matthew warehouse
Theodore distribution center,9372880619, Arizona ,Baton Rouge,84544,"Ap #382-1231 Sagittis Av., Baton Rouge,  Arizona , 84544",Lucius warehouse
Bevis distribution center,8925506840, Arkansas ,Bangor,74341,"460-1601 Mollis. Rd., Bangor,  Arkansas , 74341",Uriah warehouse
Elijah distribution center,8906115162, California ,Southaven,73167,"9010 Mi. St., Southaven,  California , 73167",Elaine warehouse
Quentin distribution center,9509700172, Colorado ,Topeka,37455,"Ap #423-6690 Vitae Rd., Topeka,  Colorado , 37455",Doris warehouse
Vernon distribution center,9240470932, Connecticut ,Provo,51566,"942-5747 Enim. St., Provo,  Connecticut , 51566",Kasper warehouse
Uriel distribution center,8896049184, Delaware ,Lincoln,40815,"2066 Neque Rd., Lincoln,  Delaware , 40815",Dominic warehouse
Axel distribution center,9708286157, Florida ,Rockville,69885,"P.O. Box 269, 8457 Mauris Rd., Rockville,  Florida , 69885",Trevor warehouse
Tobias distribution center,9995559414, Georgia ,Lansing,52280,"Ap #670-3019 Lorem St., Lansing,  Georgia , 52280",Jillian warehouse
Channing distribution center,9807496952, Hawaii ,Madison,91775,"P.O. Box 623, 9363 Tempor Ave, Madison,  Hawaii , 91775",Ashely warehouse
Kasper distribution center,8795193923, Idaho ,Bowling Green,92121,"972-5388 Aliquam Ave, Bowling Green,  Idaho , 92121",Eaton warehouse
Ira distribution center,9448983305, Illinois ,Salt Lake City,52936,"3321 Magna Av., Salt Lake City,  Illinois , 52936",Steel warehouse
Brian distribution center,9723042475, Indiana ,Los Angeles,72097,"Ap #911-3665 Eget, St., Los Angeles,  Indiana , 72097",Samson warehouse
Jonas distribution center,8630629552, Iowa ,Joliet,61251,"P.O. Box 696, 9102 Ac, Avenue, Joliet,  Iowa , 61251",Olivia warehouse
Mohammad distribution center,9342823437, Kansas ,Norfolk,35613,"Ap #617-6564 Nascetur St., Norfolk,  Kansas , 35613",Lareina warehouse
Finn distribution center,8902384972, Kentucky[E] ,Portland,86118,"Ap #408-2883 Integer Street, Portland,  Kentucky[E] , 86118",Naomi warehouse
Hop distribution center,8859651678, Louisiana ,South Portland,72322,"256-4144 A, Ave, South Portland,  Louisiana , 72322",Pascale warehouse
Brennan distribution center,9033000911, Maine ,Lincoln,47933,"P.O. Box 266, 8954 Mauris Avenue, Lincoln,  Maine , 47933",Barbara warehouse
Ryder distribution center,9673190835, Maryland ,Chesapeake,71446,"Ap #989-3307 Orci St., Chesapeake,  Maryland , 71446",Reece warehouse
Calvin distribution center,8576026610, Massachusetts[E] ,Mesa,85803,"P.O. Box 907, 4512 Lorem St., Mesa,  Massachusetts[E] , 85803",Janna warehouse
Galvin distribution center,9350364208, Michigan ,Kaneohe,66512,"159-3139 Ut St., Kaneohe,  Michigan , 66512",Kennan warehouse
Leo distribution center,9396235469, Minnesota ,Frederick,63467,"Ap #632-9705 Nisl Road, Frederick,  Minnesota , 63467",Martina warehouse
Armand distribution center,9120093889, Mississippi ,Naperville,88691,"Ap #533-1566 Diam Rd., Naperville,  Mississippi , 88691",Jacqueline warehouse
Jakeem distribution center,8804737527, Missouri ,Bridgeport,47888,"479-6548 Lacus. St., Bridgeport,  Missouri , 47888",Karleigh warehouse
Magee distribution center,8952444148, Montana ,Cambridge,66512,"P.O. Box 731, 4729 Cursus St., Cambridge,  Montana , 66512",Delilah warehouse
Rahim distribution center,9864390295, Nebraska ,Gresham,30754,"Ap #582-3711 A St., Gresham,  Nebraska , 30754",Pandora warehouse
Grant distribution center,9616121370, Nevada ,Montgomery,61772,"P.O. Box 425, 3720 Ac Av., Montgomery,  Nevada , 61772",Petra warehouse
Xander distribution center,9833887345, New Hampshire ,Tacoma,72889,"2624 Magna Road, Tacoma,  New Hampshire , 72889",Desiree warehouse
Chadwick distribution center,8774182638, New Jersey ,Lakewood,89292,"Ap #269-1426 Odio Ave, Lakewood,  New Jersey , 89292",Roth warehouse
Leonard distribution center,9700845182, New Mexico ,Columbia,68045,"P.O. Box 890, 8151 Quisque Rd., Columbia,  New Mexico , 68045",Ariel warehouse
Mason distribution center,9824729621, New York ,Bowling Green,87827,"Ap #776-5395 Non, Rd., Bowling Green,  New York , 87827",Kylee warehouse
Denton distribution center,9749370094, North Carolina ,Madison,53642,"390-4914 Aenean Rd., Madison,  North Carolina , 53642",Chava warehouse
Dante distribution center,9939935283, North Dakota ,Cedar Rapids,72417,"901-9596 Et Rd., Cedar Rapids,  North Dakota , 72417",Magee warehouse
Addison distribution center,9539990169, Ohio ,Billings,68801,"689 Amet Rd., Billings,  Ohio , 68801",Bree warehouse
Hall distribution center,9870132566, Oklahoma ,Ketchikan,76582,"P.O. Box 825, 6385 Quis Rd., Ketchikan,  Oklahoma , 76582",Imani warehouse
Macon distribution center,9643769134, Oregon ,Austin,57211,"P.O. Box 565, 2008 Quis Av., Austin,  Oregon , 57211",Aurelia warehouse
Marshall distribution center,9982826323, Pennsylvania[E] ,Cincinnati,11652,"Ap #125-733 Magna Rd., Cincinnati,  Pennsylvania[E] , 11652",Carl warehouse
Charles distribution center,8728885608, Rhode Island[F] ,Provo,73762,"P.O. Box 574, 3618 Sit Rd., Provo,  Rhode Island[F] , 73762",Emmanuel warehouse
Dolan distribution center,8726808844, South Carolina ,Tallahassee,32511,"P.O. Box 228, 8227 Vivamus St., Tallahassee,  South Carolina , 32511",Ila warehouse
Norman distribution center,8704104687, South Dakota ,Pocatello,94006,"7008 Placerat Rd., Pocatello,  South Dakota , 94006",Chaney warehouse
Elton distribution center,9583713245, Tennessee ,Chattanooga,50754,"Ap #434-3529 Proin Avenue, Chattanooga,  Tennessee , 50754",Kevin warehouse
Dante distribution center,8634556153, Texas ,Gaithersburg,85365,"Ap #361-871 Inceptos Ave, Gaithersburg,  Texas , 85365",Myles warehouse
Hedley distribution center,9924361770, Utah ,Virginia Beach,84318,"Ap #619-2456 Id St., Virginia Beach,  Utah , 84318",Noble warehouse
